C1=C(C=CC(=C1)O)C(C2=CC=C(C=C2)O)O	00549813-a13d-442f-a963-1b146cfb2df5	C1=C(C=CC(=C1)O)C(=O)C2=CC=C(C=C2)O
C1=CC=C(C=C1)OC2=CC(=CC=C2)C(C#N)O	0066b7c0-544b-47fd-9b93-8a8b275adead	C1=CC=C(C=C1)OC2=CC(=CC=C2)C=O
CCCC[Sn+2]CC(CC)O	00a0fe94-d694-4913-866f-1c9253fcc67a	CCC(=O)C.CCCC[Sn+3]
CC1=CC=C(C=C1)C(=O)[O-]	00b9590f-c0c9-4506-ab7e-52d73364d996	CC1=C[C@@H]([C@](C=C1)(C(=O)[O-])O)O
C1=C[C@H]([C@H](C(=C1)CCC(=O)[O-])O)O	0104a8a5-b682-4664-9495-52feb2af184a	C1=CC(=C(C(=C1)CCC(=O)[O-])O)O
C(=C/C(=O)[O-])/C=C(\C(=O)[O-])/Cl	0112db0a-a01d-4adf-84c9-59ba6dd8bf90	C/1=CC(=O)O\C1=C/C(=O)[O-]
C(O)[Si](O)(O)O	012b8c05-aaae-4236-a9f4-d3b7d0cdb36d	C(=O)[Si](O)(O)O
C1=CC(=O)C=CC1=O	01408102-4fcd-4500-be55-e4cecd5ef65d	C1=C(C=CC(=C1)O)O
C1=CC2=C(C=C1)C3=C4C(=C2)C=CC5=CC=CC(=C54)[C@@H]([C@H]3O)O	01558ef0-09ee-430f-bfb0-ccfc7f5257ff	C1=CC2=C(C=C1)C3=C(C(=C4C=CC=C5C=CC(=C2)C3=C54)O)O
C/C=C/C(=O)[O-]	0155e610-2c40-499f-be89-918fdc999d4a	C[C@@H](CC(=O)[O-])O
C=C(C)C1CC=C(C)C(C1)O	01812527-e854-4ef5-8cff-387953128482	C=C(C)C1CC=C(C)C(=O)C1
C=CC1=CC=CC(=C1N=C)CC	022d13b1-2f06-43e5-bd0a-d13358df08e8	CCC1=CC=CC2=C1N=CC=C2
C1=CC2=C3C(=C1)C=CC4=CC=CC(=C43)[C@H]([C@H]2O)O	02701c51-390e-4e79-a3b5-651dd5a803a2	C1=CC2=CC=C3C=CC=C4C3=C2C(=C1)C(=C4O)O
C1=CC=C(C=C1)CCC(=O)[O-]	028a9c71-eff1-48a7-98d0-da7df4b34d9c	C1=C[C@H]([C@H](C(=C1)CCC(=O)[O-])O)O
C(CC(=O)[O-])C(CC[N+](=O)[O-])[N+](=O)[O-]	028fa479-4d4b-4af4-aa81-d27ef90c917f	C(=O)=O
C1=CC(=C(C=C1)Cl)C(=O)[O-]	029608d4-4fda-4805-91f3-851a227887de	C1=CC=C(C=C1)C(=O)[O-]
CC(C)C1=CC=C(C=C1)NC(=O)N(C)C	02a612b9-1de5-40c0-aa43-ac9b812ea56d	CC(C)C1=CC=C(C=C1)NC(=O)NC.C=O
C=C(C)C1CC=C(C)CC1	02d63925-a4e5-4f0d-b8e9-24a38d261781	C=C(C)C1CC=C(CC1)CO
C1=CC=C(C=C1)CC=O	02e6efa8-8133-4431-8510-e532116bfe1e	C1=CC=C(C=C1)CC(=O)[O-]
CC(=O)C1=CC=CC=C1	02f0f08e-c82a-41ab-9733-8885f1bf6b4b	C1=CC=C(C=C1)C(=O)CC(=O)[O-]
CC1=CC2=C(C=CC(=C2)O)NC1=O	02fb6018-a289-4dbb-8817-582fbe7110d0	CC1=CC2=C(C(=CC=C2NC1=O)O)O
C1=C(C=CC(=C1)Cl)C(=C(Cl)Cl)C(=O)[O-]	0302c1eb-ef63-4ecf-a0ed-1ff96e1333a1	CC(=O)C1=CC=C(C=C1)Cl
C1CC(O)OC1	03b19092-511d-41b7-b7f7-8a45e34ac33f	C(CCO)C=O
C1=C(C=CC(=C1)Cl)C(C2=CC=C(C=C2)Cl)C(=O)[O-]	03b99965-4093-46b4-9e85-4b69cbcd2675	C1=C(C=CC(=C1)Cl)C(=O)C2=CC=C(C=C2)Cl
